feature,coef,abs_coef,odds_ratio
num__tenure,-1.1235888074246463,1.1235888074246463,0.32511093792890305
cat__Contract_Two year,-0.7812566697483593,0.7812566697483593,0.45783030814848424
cat__InternetService_Fiber optic,0.7053364815547283,0.7053364815547283,2.024527786584069
num__MonthlyCharges,-0.6635813703894272,0.6635813703894272,0.5150036090960676
cat__Contract_Month-to-month,0.663398811347821,0.663398811347821,1.9413795164972871
cat__InternetService_DSL,-0.6210094851781567,0.6210094851781567,0.5374016646649579
num__TotalCharges,0.45721054648090864,0.45721054648090864,1.579661441396357
cat__StreamingMovies_Yes,0.2749783925262788,0.2749783925262788,1.316502228272992
cat__DeviceProtection_No internet service,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__InternetService_No,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__OnlineSecurity_No internet service,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__TechSupport_No internet service,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__StreamingTV_No internet service,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__OnlineBackup_No internet service,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__StreamingMovies_No internet service,-0.2745684732156873,0.2745684732156873,0.7598999696729315
cat__PaperlessBilling_No,-0.2633645958544347,0.2633645958544347,0.7684616682905442
cat__StreamingTV_Yes,0.26203759369920093,0.26203759369920093,1.2995753973576345
cat__PaymentMethod_Electronic check,0.2388052199925436,0.2388052199925436,1.2697311942444647
cat__MultipleLines_No,-0.21341528900796256,0.21341528900796256,0.8078205885356469
cat__Dependents_Yes,-0.20910284400938464,0.20910284400938464,0.8113117927950544
cat__OnlineSecurity_No,0.19785627732910502,0.19785627732910502,1.2187872138796483
cat__StreamingMovies_No,-0.19065139614972018,0.19065139614972018,0.8264206313558331
cat__StreamingTV_No,-0.1777105973226342,0.1777105973226342,0.8371846719189081
cat__PaymentMethod_Bank transfer (automatic),-0.16409157694131654,0.16409157694131654,0.8486643002406855
cat__TechSupport_No,0.1637849252449923,0.1637849252449923,1.1779609381860219
cat__PaymentMethod_Credit card (automatic),-0.16056592750854679,0.16056592750854679,0.8516616737887861
cat__MultipleLines_Yes,0.13255631111589078,0.13255631111589078,1.1417433071187026
cat__OnlineSecurity_Yes,-0.11352928095254712,0.11352928095254712,0.8926780575646583
cat__gender_Female,-0.11133906621008793,0.11133906621008793,0.8946353568770741
cat__PhoneService_No,-0.10938249894705422,0.10938249894705422,0.896387484647659
cat__MultipleLines_No phone service,-0.10938249894705422,0.10938249894705422,0.896387484647659
cat__PaymentMethod_Mailed check,-0.10438919238180003,0.10438919238180003,0.900874615646927
cat__Partner_No,-0.10301050530612274,0.10301050530612274,0.9021174964112784
cat__Partner_Yes,-0.08723097153299303,0.08723097153299303,0.9164653937686076
cat__PhoneService_Yes,-0.08085897789207042,0.08085897789207042,0.9223237503132673
cat__TechSupport_Yes,-0.07945792886841503,0.07945792886841503,0.9236168767583823
cat__gender_Male,-0.07890241062903412,0.07890241062903412,0.9241301053203367
cat__DeviceProtection_Yes,0.07401659667805656,0.07401659667805656,1.0768246770604037
cat__PaperlessBilling_Yes,0.07312311901532347,0.07312311901532347,1.0758629879526151
cat__Contract_One year,-0.07238361843859181,0.07238361843859181,0.9301739954630472
cat__OnlineBackup_No,0.0684797929201194,0.0684797929201194,1.0708789853951437
num__SeniorCitizen,0.057141071987799344,0.057141071987799344,1.0588051676098797
cat__Dependents_No,0.01886136717026018,0.01886136717026018,1.0190403663748462
cat__OnlineBackup_Yes,0.015847203456441993,0.015847203456441993,1.015973436316219
cat__DeviceProtection_No,0.010310399698515164,0.010310399698515164,1.0103637350146941
