feature,mean_auc_drop,std_auc_drop
tenure,0.151821088119042,0.007559203568318026
InternetService,0.04322844816450942,0.006588777478213963
Contract,0.04122639437856824,0.00432933726774268
MonthlyCharges,0.038475935828876894,0.005428919960315842
TotalCharges,0.01081350590301986,0.0028490918358317205
StreamingMovies,0.004344919786096168,0.0018141941068492127
StreamingTV,0.004077992198196717,0.0026026682023346376
OnlineSecurity,0.0037270402232038257,0.0015649261128733733
PaymentMethod,0.003276111498617823,0.0016646777520394522
TechSupport,0.0032682967785268744,0.0016307232445947058
PaperlessBilling,0.0023553308016222574,0.0011751568269560274
MultipleLines,0.0018549303779481663,0.0011328462109285622
OnlineBackup,0.0014683277790693838,0.0012987190759887392
DeviceProtection,0.0012238110000257374,0.0011387824087642654
SeniorCitizen,0.001142047069156943,0.0005167894090386805
Dependents,0.0008838383838382757,0.0008595725657504201
Partner,3.8750678125198947e-07,9.383666941695552e-05
PhoneService,-0.000104626830969623,9.880451999643149e-05
gender,-0.00013943785682923315,0.00013822974880932495
